Card ID,Card Name,Card URL,Card Description,Labels,Members,Due Date,Attachment Count,Attachment Links,Checklist Item Total Count,Checklist Item Completed Count,Vote Count,Comment Count,Last Activity Date,List ID,List Name,Board ID,Board Name,Archived,Start Date,Due Complete,Due Reminder
695e7ddda7b7281ad1b2d188,Fase 1.3 Sistema de Lobby (Valheim Style),https://trello.com/c/u4TePCum/19-fase-13-sistema-de-lobby-valheim-style,"'- Implementar **Unity Relay** y **Lobby** (servicios gratuitos de Unity Gaming Services para pruebas) para evitar abrir puertos en el router.
- Crear una UI simple: ""Crear Sala"", ""Unirse con Código"".",,,,0,,0,0,0,0,2026-01-07T15:38:16.906Z,695e6258209e2ab72be6c01e,Pendiente,695e60ec35ff28d544289011,Proyecto Juego RPG,false,,false,
695e7e15a26069dec808dfbc,Fase 2: Persistencia y Datos del Jugador (Semana 3-4),https://trello.com/c/T0JTrW8H/20-fase-2-persistencia-y-datos-del-jugador-semana-3-4,"_Objetivo: Crear un personaje, guardar sus stats en un archivo encriptado y cargarlo en otra sesión._

Este es el pilar de tu diseño ""Cross-World"".",,,,0,,0,0,0,0,2026-01-07T15:39:33.976Z,695e6258209e2ab72be6c01e,Pendiente,695e60ec35ff28d544289011,Proyecto Juego RPG,false,,false,
695e7e2c05ca27141cddd3ab,Fase 2.2 Sistema de Guardado/Carga (JSON + AES),https://trello.com/c/lWPTOzmZ/22-fase-22-sistema-de-guardado-carga-json-aes,"'- Crear el `SaveManager`.
- Serializar la clase `CharacterData` a JSON.
- **Crucial:** Implementar la encriptación AES antes de escribir en disco para cumplir con tu requisito de seguridad anti-trampas.",,,,0,,0,0,0,0,2026-01-07T15:45:56.745Z,695e6258209e2ab72be6c01e,Pendiente,695e60ec35ff28d544289011,Proyecto Juego RPG,false,,false,
695e7e326e2ac23586a2a614,Fase 2.3 Validación Server-Side (Handshake):,https://trello.com/c/p7oK8r8o/23-fase-23-validaci%C3%B3n-server-side-handshake,"'- Cuando un jugador se une, el servidor debe leer sus datos y validar que no tenga ""99999 de fuerza"" (Integrity Check).",,,,0,,0,0,0,0,2026-01-07T15:46:13.807Z,695e6258209e2ab72be6c01e,Pendiente,695e60ec35ff28d544289011,Proyecto Juego RPG,false,,false,
695e7e4d354898112a4cc33a,"Fse 3: El Núcleo de Combate y ""Tab Targeting"" (Mes 2)",https://trello.com/c/9Kqdl6ox/24-fse-3-el-n%C3%BAcleo-de-combate-y-tab-targeting-mes-2,,,,,0,,0,0,0,0,2026-01-07T15:39:57.195Z,695e6258209e2ab72be6c01e,Pendiente,695e60ec35ff28d544289011,Proyecto Juego RPG,false,,false,
695e7e5697f03e3c072d584a,Fase 3.1 Sistema de Selección (Targeting System):,https://trello.com/c/FAJPLA53/25-fase-31-sistema-de-selecci%C3%B3n-targeting-system,"'- Lógica de `Tab`: Raycast o SphereCast frente al jugador para seleccionar al enemigo más cercano.
- UI de Target: Mostrar el marco de unidad del objetivo seleccionado (Vida, Nombre).",,,,0,,0,0,0,0,2026-01-07T15:46:34.186Z,695e6258209e2ab72be6c01e,Pendiente,695e60ec35ff28d544289011,Proyecto Juego RPG,false,,false,
695e7e5c1774c92047f8e284,Fase 3.2 Sistema de Habilidades (Abilities Architecture):,https://trello.com/c/f5pazOvi/26-fase-32-sistema-de-habilidades-abilities-architecture,"'- Crear un sistema modular (ScriptableObjects) para habilidades.
- Propiedades: `CastTime`, `Cooldown`, `Range`, `Damage`, `Cost`.
- Implementar la lógica de ""Casteo"" (Barra de progreso).",,,,0,,0,0,0,0,2026-01-07T15:47:51.923Z,695e6258209e2ab72be6c01e,Pendiente,695e60ec35ff28d544289011,Proyecto Juego RPG,false,,false,
695e7e5fe4114b87d6c2b58c,Fase 3.3 Networking de Combate:,https://trello.com/c/48qBVGRD/27-fase-33-networking-de-combate,"'- Uso de `ServerRPC` para pedir permiso de atacar.
- Uso de `ClientRPC` para mostrar efectos visuales/partículas a todos.
- Cálculo de daño **siempre en el servidor**.",,,,0,,0,0,0,0,2026-01-07T15:48:30.821Z,695e6258209e2ab72be6c01e,Pendiente,695e60ec35ff28d544289011,Proyecto Juego RPG,false,,false,
695e7e7da9db78600b6bb419,"Fase 4: La ""Santa Trinidad"" y la IA (Mes 3)",https://trello.com/c/0T353r1z/28-fase-4-la-santa-trinidad-y-la-ia-mes-3,"_Objetivo: Un tanque aguanta, un DPS pega y un enemigo reacciona._",,,,0,,0,0,0,0,2026-01-07T15:40:53.763Z,695e6258209e2ab72be6c01e,Pendiente,695e60ec35ff28d544289011,Proyecto Juego RPG,false,,false,
695e7e978a53fd240bf3b7c8,Fase 4.1 Tablas de Amenaza (Aggro Tables):,https://trello.com/c/i5W5loKD/29-fase-41-tablas-de-amenaza-aggro-tables,"'- Cada enemigo debe tener una lista: `Dictionary<PlayerID, int> ThreatAmount`.
- El Tanque genera x2 de amenaza. El Healer genera amenaza al curar.
- La IA ataca siempre al que tenga más amenaza.",,,,0,,0,0,0,0,2026-01-07T15:49:02.471Z,695e6258209e2ab72be6c01e,Pendiente,695e60ec35ff28d544289011,Proyecto Juego RPG,false,,false,
